check	value	status
campaigns	16	PASS
windows	480	PASS
eq_final_nsteps_and_finish_marker	480	PASS
production_final_nsteps_and_finish_marker	480	PASS
production_tpr_files	480	PASS
production_pullf_files	480	PASS
pull_trajectories	16	PASS
paired_pmf_files_local	578	PASS
paired_pmf_files_remote	578	PASS
paired_pmf_file_differences	0	PASS
wham_full_sets	16	PASS
bootstrap_sets	16	PASS
paired_qc_rows	8	PASS
selectivity_estimate_ready_rows	8	PASS
summary_tables_match_tracked_results	2	PASS
campaign_core_file_differences	0	PASS
sha256_entries_verified	12564	PASS
sha256_failures	0	PASS
