Using gromos method for clustering
Using RMSD cutoff 0.2 nm
The RMSD ranges from 0.0656933 to 1.08404 nm
Average RMSD is 0.481739
Number of structures for matrix 2001
Energy of the matrix is 46.4579.

Found 226 clusters

Writing middle structure for each cluster to /root/LiSPER_remote/LiSPER_8cand_LiCl/systems/LiA3-Ref/gromacs/cluster_20ns/representative_top_cluster.pdb

cl. | #st  rmsd | middle rmsd | cluster members
  1 | 101  0.212 |   5840 .168 |      0    130    140    180    190    200    210
    |           |             |    280    300    310    320    330    350    360
    |           |             |    370    380    390    540    600    610    620
    |           |             |    630    640    650    910    920   5820   5830
    |           |             |   5840   5850   5860   5870   5880   5900   5910
    |           |             |   5920   5930   5980   5990   6000   6020   6030
    |           |             |   6050   6060   6070   6080   6090   6100   6110
    |           |             |   6120   6130   6160   6250   6260   6270   6280
    |           |             |   6290   6310   6320   6330   6340   6580   6620
    |           |             |   6630   6650   6770   6790   6810   6860   6870
    |           |             |   6880   6890   6900   6990   7000   7010   7030
    |           |             |   7120   7130   7210   7250   7260   7270   7290
    |           |             |   7300   7310   7320   7330   7340   7350   7380
    |           |             |   7390   7400   7410   7420   8150   8160   8170
    |           |             |  17730  17740  17750
  2 |  68  0.211 |  16950 .171 |    450    460   1050   1060   1070   1160   1180
    |           |             |   1210   1280   1350   1370  14460  16170  16240
    |           |             |  16250  16260  16270  16280  16290  16400  16470
    |           |             |  16490  16500  16620  16630  16640  16650  16660
    |           |             |  16670  16680  16720  16730  16780  16920  16930
    |           |             |  16940  16950  16960  16970  16980  16990  17000
    |           |             |  17010  17020  17030  17040  17050  17060  17080
    |           |             |  17170  17180  17290  17300  17310  17320  17360
    |           |             |  17370  17380  17400  17420  17430  17450  17460
    |           |             |  17470  17480  17490  17500  17510
  3 |  59  0.224 |   7500 .176 |     60     70     90    100    110    120    150
    |           |             |    160    170    560    570    580   5500   5510
    |           |             |   5520   5530   5580   5630   5640   5650   5670
    |           |             |   6190   6200   6230   6240   6640   7070   7080
    |           |             |   7200   7430   7440   7450   7460   7470   7480
    |           |             |   7490   7500   7510   7530   7540   7550   7580
    |           |             |   7590   7720   7730   7810   7950   8070   8080
    |           |             |   8120   8130   8140   9850   9880  10230  17770
    |           |             |  17780  17840  17910
  4 |  58  0.214 |   4670 .167 |   1690   1700   1710   1780   1790   2260   2270
    |           |             |   2280   2290   2300   4140   4150   4210   4230
    |           |             |   4240   4250   4260   4270   4280   4290   4300
    |           |             |   4320   4330   4340   4350   4360   4500   4540
    |           |             |   4550   4580   4590   4600   4610   4620   4630
    |           |             |   4640   4650   4660   4670   4680   4690   4700
    |           |             |   4720   4740   4750   4890   4940   4950   4960
    |           |             |   4970   4980   4990   5020   5050  17540  17550
    |           |             |  17560  17570
  5 |  58  0.215 |  11120 .171 |   6390   6400   6410   6430   8280   8300   8310
    |           |             |   8320   8330   8380   8390   8400   8420   8430
    |           |             |   8440   8450   8660  11050  11060  11070  11100
    |           |             |  11110  11120  11130  11140  11150  11170  11180
    |           |             |  11190  11210  11260  11290  11300  11310  11320
    |           |             |  11330  11340  11370  11380  11390  11410  11420
