Using gromos method for clustering
Using RMSD cutoff 0.2 nm
The RMSD ranges from 0.05135 to 1.58414 nm
Average RMSD is 0.648326
Number of structures for matrix 2001
Energy of the matrix is 35.154.

Found 209 clusters

Writing middle structure for each cluster to /root/LiSPER_remote/LiSPER_LiCl/systems/LiD3-1/gromacs/cluster_20ns_repair/representative_top_cluster.pdb

cl. | #st  rmsd | middle rmsd | cluster members
  1 | 314  0.205 |  14220 .161 |  11240  11260  11270  11280  11290  11300  11310
    |           |             |  11320  11330  11340  11350  11360  11440  11450
    |           |             |  11460  12290  12310  12320  12370  12380  12390
    |           |             |  12400  12410  12460  12470  12950  13410  13510
    |           |             |  13530  13540  13550  13560  13570  13630  13660
    |           |             |  13670  13680  13690  13700  13710  13720  13730
    |           |             |  13740  13750  13760  13770  13780  13790  13800
    |           |             |  13810  13820  13840  13870  13880  13900  13910
    |           |             |  13920  13930  13950  13960  13970  13980  13990
    |           |             |  14000  14010  14020  14030  14040  14050  14060
    |           |             |  14080  14110  14120  14140  14150  14160  14170
    |           |             |  14180  14190  14200  14210  14220  14230  14240
    |           |             |  14250  14260  14270  14280  14290  14300  14310
    |           |             |  14320  14330  14340  14350  14360  14370  14380
    |           |             |  14390  14400  14410  14420  14430  14440  14450
    |           |             |  14460  14470  14480  14490  14500  14510  14520
    |           |             |  14530  14540  14550  14560  14570  14580  14590
    |           |             |  14600  14610  14620  14630  14640  14650  14660
    |           |             |  14670  14680  14700  14750  14760  14770  14840
    |           |             |  14850  14860  14870  14880  14890  14900  14910
    |           |             |  14920  14930  14940  14950  14960  14970  14980
    |           |             |  14990  15000  15020  15030  15040  15050  15060
    |           |             |  15070  15080  15090  15120  15140  15170  15230
    |           |             |  15350  15360  15370  15380  15390  15430  15450
    |           |             |  15540  15570  15580  15610  15620  15630  15640
    |           |             |  15650  15660  15670  15680  15690  15700  15710
    |           |             |  15730  15740  15750  15820  17530  17540  17550
    |           |             |  17560  17570  17590  17600  17610  17620  17630
    |           |             |  17640  17650  17660  17670  17680  17690  17700
    |           |             |  17710  17730  17740  17770  17850  17860  18010
    |           |             |  18020  18030  18040  18050  18060  18070  18080
    |           |             |  18090  18100  18110  18120  18130  18140  18150
    |           |             |  18160  18170  18180  18190  18200  18210  18220
    |           |             |  18240  18250  18270  18300  18320  18330  18350
    |           |             |  18360  18370  18380  18390  18400  18410  18420
    |           |             |  18430  18440  18450  18460  18470  18480  18490
    |           |             |  18500  18510  18520  18530  18540  18550  18560
    |           |             |  18570  18580  18590  18600  18610  18620  18630
    |           |             |  18640  18650  18660  18670  18680  18700  18730
    |           |             |  18740  18750  18760  18770  18790  18800  18810
    |           |             |  18820  18830  18840  18850  18860  18870  18880
    |           |             |  18890  18900  18910  18920  18930  18940  18950
    |           |             |  18960  18970  18980  18990  19000  19010  19020
    |           |             |  19030  19040  19070  19080  19090  19100  19110
    |           |             |  19120  19130  19140  19150  19160  19170
  2 | 109  0.210 |  12760 .170 |  11110  11140  11150  11210  11250  11400  11410
    |           |             |  11430  11470  11480  11510  11520  11540  11660
    |           |             |  11680  11690  11700  11710  11720  11730  11740
    |           |             |  11750  11780  11790  11800  11820  11830  11840
    |           |             |  11850  11860  11870  11880  11890  12010  12020
    |           |             |  12030  12040  12050  12060  12070  12080  12090
    |           |             |  12110  12120  12130  12140  12150  12190  12200
    |           |             |  12210  12240  12260  12270  12300  12330  12340
    |           |             |  12350  12360  12420  12430  12440  12450  12490
    |           |             |  12500  12520  12530  12540  12550  12570  12580
    |           |             |  12590  12600  12610  12630  12740  12750  12760
    |           |             |  12770  12780  12790  12800  12810  12820  12830
    |           |             |  12840  12850  12860  12870  12880  12890  12900
    |           |             |  12910  12920  12930  12970  13030  13040  13620
    |           |             |  13640  13650  13830  13850  13860  13890  14070
    |           |             |  14090  14100  14130  18230
  3 | 102  0.210 |  17190 .169 |   9400   9430   9580   9590   9600   9650   9660
    |           |             |   9700  14740  15440  15460  15470  15480  15490
    |           |             |  15500  15520  15530  15560  15600  15760  15780
    |           |             |  15790  15800  15810  15830  15840  15850  15860
    |           |             |  15870  15880  15890  15900  15910  15920  15930
    |           |             |  15940  15960  15970  16120  16130  16140  16170
    |           |             |  16190  16200  16210  16220  16230  16240  16250
    |           |             |  16260  16280  16290  16370  16390  16400  16490
    |           |             |  16510  16670  16970  16980  17020  17030  17040
    |           |             |  17060  17070  17080  17090  17100  17110  17120
    |           |             |  17130  17140  17150  17160  17170  17180  17190
    |           |             |  17200  17210  17220  17230  17240  17250  17260
    |           |             |  17270  17280  17290  17780  17790  17810  17820
    |           |             |  17830  17840  17870  17900  17910  17940  17950
    |           |             |  17960  17980  17990  18000
  4 |  64  0.189 |  17000 .154 |   9010   9100   9110   9150   9160   9170   9200
    |           |             |   9210   9220   9230   9240   9250   9280   9360
    |           |             |  16420  16430  16440  16450  16460  16470  16480
    |           |             |  16500  16520  16530  16540  16560  16570  16620
    |           |             |  16630  16650  16660  16680  16690  16700  16710
    |           |             |  16720  16730  16740  16750  16760  16770  16780
    |           |             |  16790  16800  16810  16820  16830  16840  16850
    |           |             |  16860  16870  16880  16890  16900  16910  16920
    |           |             |  16930  16940  16950  16960  16990  17000  17010
    |           |             |  17050
  5 |  48  0.224 |  13500 .192 |  11020  11030  11060  11070  11080  11230  11530
    |           |             |  11550  11560  11670  12000  12940  13070  13080
    |           |             |  13140  13150  13160  13170  13180  13300  13310
    |           |             |  13320  13330  13340  13350  13360  13370  13380
    |           |             |  13390  13400  13500  13520  13580  13590  13610
    |           |             |  13940  18260  18280  18290  18780  19180  19190
    |           |             |  19200  19230  19250  19270  19280  19290
  6 |  39  0.209 |     80 .172 |      0     40     50     60     70     80     90
    |           |             |    110    120    130    180    190    210    220
    |           |             |    230    240    250    260    270    330    340
    |           |             |    370    380    390    400    410    420    430
    |           |             |    480    490    500    510    520    530    540
    |           |             |    560    570    580    590
  7 |  37  0.177 |   8590 .150 |   8450   8460   8470   8480   8490   8500   8510
    |           |             |   8520   8530   8540   8550   8560   8570   8580
    |           |             |   8590   8600   8610   8620   8630   8640   8650
    |           |             |   8660   8670   8680   8690   8700   8710   8720
    |           |             |   8730   8740   8750   8760   8800   8810   8860
    |           |             |   8870   8940
  8 |  34  0.199 |  15770 .178 |  14690  14710  14720  14730  14780  14790  14800
    |           |             |  14810  15400  15410  15420  15590  15720  15770
    |           |             |  17310  17320  17340  17350  17360  17370  17380
    |           |             |  17420  17430  17440  17450  17460  17470  17480
    |           |             |  17490  17520  17890  17920  17930  17970
  9 |  31  0.205 |  19590 .171 |  11100  11180  11190  11200  11420  11570  19220
    |           |             |  19500  19520  19530  19560  19570  19580  19590
    |           |             |  19600  19610  19620  19640  19650  19660  19670
    |           |             |  19690  19700  19710  19720  19730  19740  19750
    |           |             |  19760  19770  19780
 10 |  27  0.212 |  11130 .188 |  11090  11120  11130  11160  11170  11220  11370
    |           |             |  11380  11390  11760  11770  12100  12160  12170
    |           |             |  12220  12230  12250  12620  12640  12650  12660
    |           |             |  12670  12680  12690  12700  12720  12730
 11 |  27  0.186 |   9020 .159 |   8900   8910   8920   8930   8950   8960   8970
    |           |             |   8980   8990   9000   9020   9030   9040   9050
    |           |             |   9060   9070   9080   9090   9120   9130   9140
    |           |             |   9180   9190   9260   9270   9340   9350
 12 |  27  0.208 |  16350 .185 |   9380   9390   9410   9420   9440   9450   9460
    |           |             |   9470   9480   9550   9690  16110  16150  16160
    |           |             |  16180  16270  16300  16310  16320  16330  16340
    |           |             |  16350  16360  16380  16410  16590  16610
 13 |  27  0.173 |  15340 .150 |  15100  15110  15130  15150  15160  15180  15200
    |           |             |  15210  15220  15240  15250  15260  15270  15280
    |           |             |  15290  15300  15310  15320  15330  15340  15510
    |           |             |  15550  17580  17720  17750  17760  17800
 14 |  26  0.180 |  10070 .151 |   9840   9900   9910   9920   9930   9940   9950
    |           |             |   9960   9970   9980   9990  10000  10010  10020
    |           |             |  10030  10040  10050  10060  10070  10080  10090
    |           |             |  10100  10110  10120  10180  10190
 15 |  25  0.203 |  13000 .175 |  12960  12980  12990  13000  13010  13020  13050
    |           |             |  13060  13100  13120  13190  13200  13210  13220
    |           |             |  13230  13240  13250  13270  13280  13290  13420
    |           |             |  13430  13440  13450  13460
 16 |  23  0.206 |  10850 .171 |  10520  10540  10550  10570  10580  10760  10770
    |           |             |  10780  10790  10800  10810  10820  10830  10840
    |           |             |  10850  10860  10870  10880  10920  10930  10950
    |           |             |  10960  10970
