Using gromos method for clustering
Using RMSD cutoff 0.2 nm
The RMSD ranges from 0.0644146 to 1.54083 nm
Average RMSD is 0.666472
Number of structures for matrix 2001
Energy of the matrix is 46.4371.

Found 355 clusters

Writing middle structure for each cluster to /root/LiSPER_remote/LiSPER_8cand_LiCl/systems/LiD3-Flex/gromacs/cluster_20ns/representative_top_cluster.pdb

cl. | #st  rmsd | middle rmsd | cluster members
  1 |  88  0.169 |  16660 .132 |  16260  16460  16470  16480  16490  16500  16510
    |           |             |  16520  16530  16540  16550  16560  16570  16580
    |           |             |  16590  16600  16610  16620  16630  16640  16650
    |           |             |  16660  16670  16680  16690  16700  16710  16720
    |           |             |  16730  16740  16750  16760  16770  16780  16790
    |           |             |  16800  16810  16820  16830  16840  16850  16860
    |           |             |  16870  16880  16890  16900  16910  16920  16930
    |           |             |  16940  16950  16960  16970  16980  16990  17000
    |           |             |  17010  17020  17030  17040  17050  17060  17070
    |           |             |  17080  17090  17100  17110  17120  17130  17140
    |           |             |  17150  17160  17170  17180  17190  17200  17210
    |           |             |  17220  17230  17240  17250  17530  17540  17550
    |           |             |  17560  17570  17580  17590
  2 |  36  0.201 |  16320 .169 |  16010  16100  16110  16120  16130  16140  16150
    |           |             |  16160  16170  16180  16190  16230  16240  16250
    |           |             |  16280  16300  16310  16320  16330  16340  17300
    |           |             |  17310  17330  17340  17360  17370  17380  17390
    |           |             |  17400  17420  17450  17460  17470  17480  17490
    |           |             |  17720
  3 |  33  0.201 |  18270 .169 |  17910  17920  18040  18050  18060  18070  18080
    |           |             |  18090  18110  18130  18140  18150  18160  18170
    |           |             |  18190  18200  18210  18220  18230  18240  18250
    |           |             |  18260  18270  18280  18290  18300  18310  18320
    |           |             |  18330  18340  18670  18680  18690
  4 |  29  0.213 |  15190 .172 |  14910  15120  15130  15140  15150  15160  15170
    |           |             |  15180  15190  15200  15210  15230  15240  15260
    |           |             |  15270  15290  15300  15310  15380  15500  15530
    |           |             |  15540  15570  15710  15720  15730  15740  15750
    |           |             |  15760
  5 |  29  0.219 |   5880 .176 |   5390   5400   5410   5420   5440   5570   5580
    |           |             |   5610   5620   5690   5700   5720   5730   5740
    |           |             |   5770   5780   5790   5800   5810   5820   5830
    |           |             |   5840   5850   5860   5870   5880   5890   5920
    |           |             |   5930
  6 |  25  0.220 |   9400 .179 |   8330   8360   8370   8390   8400   8660   8710
    |           |             |   8720   8730   8760   8770   8780   8800   8810
    |           |             |   9010   9020   9030   9050   9230   9240   9250
    |           |             |   9380   9400   9410   9420
  7 |  24  0.199 |   9140 .165 |   8640   9070   9080   9090   9100   9110   9120
    |           |             |   9130   9140   9150   9160   9170   9260   9270
    |           |             |   9280   9290   9310   9320   9330   9340   9350
    |           |             |   9360   9580   9610
  8 |  24  0.205 |  11090 .166 |  10900  10910  10920  10940  10950  10960  10970
    |           |             |  11000  11010  11020  11030  11040  11060  11070
    |           |             |  11080  11090  11100  11110  11120  11130  11280
    |           |             |  11290  11300  11340
  9 |  23  0.204 |   5060 .165 |   4830   4840   4850   4860   4870   4890   4900
    |           |             |   4910   4920   4930   4940   4950   4990   5010
    |           |             |   5020   5030   5040   5050   5060   5070   5080
    |           |             |   5090   5100
 10 |  23  0.212 |   9980 .173 |   9950   9960   9970   9980   9990  10000  10010
    |           |             |  10040  10050  10070  10080  10120  10130  10140
    |           |             |  10150  10160  10180  10190  10230  10240  10250
    |           |             |  10260  10560
 11 |  20  0.195 |  18550 .162 |  18180  18350  18480  18490  18500  18510  18520
    |           |             |  18530  18540  18550  18560  18570  18580  18590
    |           |             |  18600  18610  18620  18630  18640  18650
 12 |  20  0.207 |  15050 .169 |  14940  14950  14960  14970  14980  15000  15010
    |           |             |  15020  15030  15040  15050  15060  15070  15350
