Using gromos method for clustering
Using RMSD cutoff 0.2 nm
The RMSD ranges from 0.056422 to 0.771587 nm
Average RMSD is 0.391655
Number of structures for matrix 2001
Energy of the matrix is 31.128.

Found 78 clusters

Writing middle structure for each cluster to /root/LiSPER_remote/LiSPER_8cand_LiCl/systems/LiDS-1/gromacs/cluster_20ns/representative_top_cluster.pdb

cl. | #st  rmsd | middle rmsd | cluster members
  1 | 314  0.210 |  13160 .171 |      0     20     50    120    140    150    160
    |           |             |    170    280    290    320    330    340    370
    |           |             |    420    430    450    460    480    490    500
    |           |             |    510    520    550    560    570    580    700
    |           |             |    740    760    770    780    910    930   1170
    |           |             |   1180   1190   1230   1240   1250   1260   1270
    |           |             |   1290   1300   1310   1320   1330   1370   1380
    |           |             |   1410   1420   7250   7270   7280   7300   7310
    |           |             |   7320   7330   7340   7370   7400   7420   7450
    |           |             |   7460   7470   7490   7500   7510   7530   7540
    |           |             |   7550   7560   7570   7590   7600   7620   7630
    |           |             |   7640   7670   7680   7690   7700   7710   7720
    |           |             |   7730   7740   7750   7760   7770   7780   7790
    |           |             |   7800   7850   7870   7880   7920   7930   7940
    |           |             |   8120   8130   8140   8150   8160   8170   8180
    |           |             |   8190   8200   8210   8250   8260   8300   8410
    |           |             |   8420   8430   8440   8450   8510   8520   8530
    |           |             |   8540   8550   8560   8570   8580   8590   8600
    |           |             |   8610   8620   8630   8640   8650   8660   8800
    |           |             |   8810   8820   8830   8840   8850   9130   9150
    |           |             |   9160   9170   9180   9190   9220   9250   9260
    |           |             |   9270   9280   9290   9300   9320   9330   9350
    |           |             |  11760  11880  11890  11950  11990  12020  12060
    |           |             |  12070  12120  12130  12140  12150  12200  12210
    |           |             |  12220  12230  12240  12250  12260  12270  12280
    |           |             |  12290  12320  12330  12340  12350  12360  12370
    |           |             |  12380  12390  12400  12410  12420  12430  12450
    |           |             |  12460  12470  12500  12510  12520  12560  12570
    |           |             |  12630  12640  12720  12760  12780  12790  12800
    |           |             |  12810  12820  12830  12840  12850  12860  12870
    |           |             |  12880  12910  12950  12960  12970  12990  13000
    |           |             |  13010  13020  13030  13040  13050  13070  13080
    |           |             |  13090  13100  13110  13120  13130  13140  13150
    |           |             |  13160  13170  13180  13200  13210  13220  13230
    |           |             |  13240  13250  13260  13270  13290  13300  13310
    |           |             |  13360  13370  13380  13390  13400  13410  13420
    |           |             |  13430  13440  13590  13600  13620  13630  13640
    |           |             |  13650  13660  13670  13680  13690  13700  13710
    |           |             |  13720  13730  13770  13780  13790  13800  13810
    |           |             |  13820  13830  13840  13850  13860  13870  13880
    |           |             |  13890  13910  13920  13930  13940  13950  13960
    |           |             |  13970  13980  13990  14000  14010  14020  14030
    |           |             |  14050  14920  15020  15030  15040  15050  15470
    |           |             |  15480  15490  15500  15520  15530  15540  15550
    |           |             |  15560  15570  15580  15590  15600  15610
  2 | 263  0.206 |   6470 .170 |   1860   2000   2010   2020   2030   2040   2060
    |           |             |   2070   2080   2090   2330   2340   2350   2360
    |           |             |   2380   2430   2440   2460   2470   2500   2880
    |           |             |   2930   2940   2950   2960   2970   2980   3000
    |           |             |   3010   3030   3040   3090   3100   3120   3130
    |           |             |   3210   3220   3230   3240   3260   3270   3280
    |           |             |   3290   3300   3310   3320   3330   3340   3350
    |           |             |   3360   3370   3380   3390   3400   3410   3420
    |           |             |   3430   3450   3460   3530   3580   3590   3600
    |           |             |   3630   3640   3670   3680   3690   3700   3750
    |           |             |   3760   3770   3780   3790   3800   3810   3820
    |           |             |   3830   3890   3900   3910   3920   3930   3940
    |           |             |   3960   4040   4050   4060   4090   4100   4110
    |           |             |   4120   4130   4140   4150   4160   4180   4190
    |           |             |   4200   4210   4220   4230   4240   4250   4260
    |           |             |   4310   4390   4400   4410   4420   4440   4450
    |           |             |   4470   4490   4500   4510   4520   4600   4610
    |           |             |   4620   4630   4640   4650   4660   4670   4680
    |           |             |   4690   4700   4710   4720   4730   4740   4750
    |           |             |   5080   5090   5100   5110   5120   5130   5140
    |           |             |   5160   5170   5180   5190   5200   5210   5220
    |           |             |   5390   5410   5430   5500   5510   5640   5650
    |           |             |   5660   5670   5680   5700   5710   5720   5730
    |           |             |   5740   5750   5770   5780   5790   5800   5810
    |           |             |   5820   5830   5840   5850   5860   5870   5880
    |           |             |   5890   5900   5910   5930   5940   5970   5980
    |           |             |   5990   6000   6010   6020   6030   6040   6050
    |           |             |   6060   6070   6080   6090   6100   6110   6120
    |           |             |   6130   6140   6150   6160   6170   6180   6250
    |           |             |   6280   6310   6340   6350   6360   6400   6410
    |           |             |   6420   6430   6440   6450   6460   6470   6480
    |           |             |   6490   6500   6510   6520   6530   6540   6550
    |           |             |   6560   6570   6580   6590   6600   6610   6620
    |           |             |   6630   6640   6650   6670   6690   6700   6710
    |           |             |   6720   6800   6810   6840   6850   6860   6870
    |           |             |   6880   6890   6900   6910   6920   6930   6940
    |           |             |   6950   6960   6970   6990   7000   7020   7030
    |           |             |   7060   7070   7090   7110
  3 | 168  0.201 |  17950 .165 |   9230   9460   9540   9610   9630  15770  15780
    |           |             |  15890  15920  15930  15940  15970  16010  16020
    |           |             |  16040  16160  16180  16190  16210  16220  16230
    |           |             |  16250  16260  16270  16280  16390  16400  16410
    |           |             |  16420  16440  16450  16480  16490  16500  16510
    |           |             |  16520  16530  16540  16590  16600  16610  16620
    |           |             |  16630  16640  16650  16660  16670  16680  16690
    |           |             |  16700  16710  16720  16730  16740  16750  16760
    |           |             |  16770  16780  16790  16800  16810  16820  16830
    |           |             |  16840  16850  16860  16870  16880  16890  16910
    |           |             |  16920  16930  16940  16990  17000  17010  17020
    |           |             |  17030  17040  17050  17070  17080  17090  17100
    |           |             |  17110  17120  17130  17140  17150  17160  17170
    |           |             |  17180  17190  17200  17210  17220  17230  17280
    |           |             |  17290  17300  17310  17320  17330  17350  17360
    |           |             |  17370  17380  17390  17400  17410  17420  17440
    |           |             |  17450  17460  17470  17480  17490  17500  17510
    |           |             |  17520  17530  17540  17550  17570  17580  17590
    |           |             |  17600  17610  17620  17640  17670  17690  17700
    |           |             |  17750  17760  17770  17780  17790  17800  17840
    |           |             |  17850  17860  17870  17880  17930  17940  17950
    |           |             |  17960  17970  17980  17990  18000  18010  18020
    |           |             |  18030  18040  18050  18060  18080  18110  18120
