Using gromos method for clustering
Using RMSD cutoff 0.2 nm
The RMSD ranges from 0.0686905 to 0.9803 nm
Average RMSD is 0.47285
Number of structures for matrix 2001
Energy of the matrix is 44.0823.

Found 248 clusters

Writing middle structure for each cluster to /root/LiSPER_remote/LiSPER_8cand_LiCl/systems/LiLC-1/gromacs/cluster_20ns/representative_top_cluster.pdb

cl. | #st  rmsd | middle rmsd | cluster members
  1 |  83  0.218 |   4470 .175 |    790   2220   2230   2240   2270   2280   2490
    |           |             |   2500   3810   3840   3860   3880   3930   3960
    |           |             |   3970   3980   4080   4160   4170   4180   4250
    |           |             |   4260   4270   4280   4290   4300   4310   4320
    |           |             |   4340   4400   4410   4430   4440   4460   4470
    |           |             |   4480   4490   4500   4510   4540   4560   4570
    |           |             |   4580   4690   4700   4730   4960   4970   4980
    |           |             |   5200   5420   5430   5440   5450   5490   5660
    |           |             |   5670   5680   5690   5700   5820   6190   6670
    |           |             |   6680   6700   6710   6760   6780   6790   6810
    |           |             |   6820   6830   6840   6850   6860   6870   6880
    |           |             |   6910   6930   6940   7050   7070   7130
  2 |  60  0.216 |  15670 .171 |  13190  13270  14870  14880  14890  14900  14910
    |           |             |  14920  14930  14940  14950  14960  14970  14980
    |           |             |  15000  15020  15040  15050  15060  15070  15080
    |           |             |  15160  15170  15180  15190  15200  15210  15220
    |           |             |  15230  15240  15250  15380  15390  15520  15530
    |           |             |  15540  15550  15560  15570  15620  15640  15650
    |           |             |  15660  15670  15680  15690  15700  15710  15720
    |           |             |  15730  15750  15770  15800  15850  15860  15870
    |           |             |  15880  15890  15900  15910
  3 |  59  0.209 |   4810 .171 |   1960   1970   1980   2330   2340   2350   2360
    |           |             |   3990   4760   4770   4780   4790   4800   4810
    |           |             |   4820   4830   4840   4850   4860   4870   4880
    |           |             |   4890   4900   4920   4930   4940   5280   5310
    |           |             |   5320   5330   5340   5350   5360   5370   5710
    |           |             |   5720   5730   5750   5760   5770   5780   5790
    |           |             |   5800   5880   5890   5910   5970   5990   6050
    |           |             |   6060   6110   6130   6150   6160   6170   6180
    |           |             |   6210   6230   6250
  4 |  52  0.210 |  16970 .167 |  15990  16030  16060  16070  16080  16090  16110
    |           |             |  16220  16230  16300  16520  16560  16660  16670
    |           |             |  16740  16820  16830  16840  16850  16870  16880
    |           |             |  16890  16900  16910  16920  16930  16940  16950
    |           |             |  16960  16970  16980  16990  17000  17010  17020
    |           |             |  17030  17040  17050  17060  17070  17080  17090
    |           |             |  17100  17110  17180  17240  17260  17270  17280
    |           |             |  17290  17300  17310
  5 |  43  0.221 |   2830 .169 |   2670   2680   2690   2700   2710   2720   2730
    |           |             |   2790   2810   2820   2830   2840   2850   2860
    |           |             |   2870   2880   2900   2970   2990   3000   3010
    |           |             |   3030   3040   3100   3120   3130   3140   3150
    |           |             |   3160   3170   3200   3210   3260   3270   3290
    |           |             |   3300   3310   4130   4140   4620  11400  11410
    |           |             |  11420
  6 |  39  0.224 |   5170 .176 |    650    760   2250   2260   2370   2380   2390
    |           |             |   2400   2430   2440   2450   2470   3790   4090
    |           |             |   4100   4110   4120   4330   4350   4360   4370
    |           |             |   4710   4720   4740   4990   5000   5010   5030
    |           |             |   5040   5130   5150   5160   5170   5180   5190
    |           |             |   5210   5250   5270   5380
  7 |  36  0.219 |   5860 .178 |     30   2090   2100   2110   2160   2310   2480
    |           |             |   3940   3950   4450   5390   5410   5470   5810
    |           |             |   5830   5840   5850   5860   5870   5900   6260
    |           |             |   6270   6290   6300   6310   6320   6330   6360
    |           |             |   6370   6380   6400   6640   6650   6660   6890
    |           |             |   6900
  8 |  32  0.217 |  18650 .172 |  18620  18630  18640  18650  18660  18700  18710
    |           |             |  18720  18730  18820  18830  18840  18850  18900
    |           |             |  18910  18920  18930  19180  19190  19200  19210
    |           |             |  19250  19270  19370  19390  19400  19410  19420
    |           |             |  19430  19440  19450  19460
  9 |  30  0.203 |    510 .172 |    370    380    390    400    410    420    480
    |           |             |    490    500    510    520    550    580    590
    |           |             |    610    620    660    670    680    690    700
    |           |             |    710    730    740    750   1740   1750   1760
    |           |             |   6550   6590
 10 |  28  0.210 |   2510 .184 |   2510   2520   2530   2540   2550   2600   2610
    |           |             |   4150   4200   4230   4240   4420   4520   4530
    |           |             |   4550   4590   4600   4610   4630   4640   4650
    |           |             |   6690   6750   6770   6800   7160   9300  11350
 11 |  28  0.215 |  14570 .179 |  14230  14240  14290  14300  14310  14330  14340
    |           |             |  14360  14370  14380  14390  14420  14430  14440
    |           |             |  14470  14540  14550  14560  14570  14580  14590
    |           |             |  14600  14620  14640  14650  14660  14710  14760
 12 |  28  0.199 |  11860 .170 |   9150  11660  11670  11680  11690  11700  11710
    |           |             |  11740  11760  11770  11780  11790  11800  11810
    |           |             |  11820  11830  11840  11850  11860  11870  11880
    |           |             |  11890  11910  11920  11990  12010  12020  12230
 13 |  28  0.213 |   5640 .168 |   3800   5500   5510   5530   5540   5550   5560
    |           |             |   5570   5580   5590   5600   5610   5620   5630
    |           |             |   5640   5650   7180   7240   7250   7260   7270
    |           |             |   7280   7290  11310  11320  11330  11340  11360
 14 |  25  0.198 |   8260 .163 |   7890   8210   8230   8240   8250   8260   8270
    |           |             |   8280   8290   8300   8310   8320   8330   8340
    |           |             |   8350   8360   8370   8380   8390   8400   8410
    |           |             |   8420   8430   8450   8470
 15 |  25  0.199 |  13050 .163 |  12920  12930  12940  12950  12960  12970  12980
    |           |             |  12990  13000  13010  13020  13030  13040  13050
    |           |             |  13060  13070  13080  13090  13100  13110  13740
    |           |             |  13760  13790  13800  17330
 16 |  24  0.199 |   9660 .168 |   9580   9590   9600   9610   9620   9630   9640
    |           |             |   9650   9660   9670   9680   9700   9730   9740
    |           |             |   9760   9770   9780   9820   9840   9850   9860
    |           |             |   9870   9890   9900
 17 |  23  0.215 |  16730 .189 |  12590  15280  16020  16050  16190  16200  16550
    |           |             |  16570  16580  16610  16620  16640  16650  16680
    |           |             |  16690  16700  16710  16720  16730  16760  16790
    |           |             |  16800  16810
 18 |  22  0.211 |   8660 .170 |   7650   7660   7670   7680   7710   7720   7850
    |           |             |   7860   8600   8650   8660   8670   8680   8700
    |           |             |  10100  10110  10120  10130  11930  11940  11960
