Using gromos method for clustering
Using RMSD cutoff 0.2 nm
The RMSD ranges from 0.0551123 to 1.60153 nm
Average RMSD is 0.668543
Number of structures for matrix 2001
Energy of the matrix is 39.9388.

Found 255 clusters

Writing middle structure for each cluster to /root/LiSPER_remote/LiSPER_8cand_LiCl/systems/LiND-Hybrid/gromacs/cluster_20ns/representative_top_cluster.pdb

cl. | #st  rmsd | middle rmsd | cluster members
  1 | 258  0.197 |   9790 .159 |   5700   5710   5720   5730   5740   5750   5760
    |           |             |   5770   5780   5790   5800   5810   5820   5830
    |           |             |   5840   5850   5860   5930   5940   5950   5960
    |           |             |   5970   5980   5990   6000   6080   6090   6100
    |           |             |   6110   6120   6130   6140   6150   6160   6170
    |           |             |   6190   6220   6230   6240   6250   6260   6270
    |           |             |   7330   7360   7440   7450   7460   7470   7580
    |           |             |   7590   7810   7850   7870   7880   7900   9010
    |           |             |   9020   9030   9050   9060   9070   9080   9090
    |           |             |   9150   9160   9170   9180   9190   9200   9220
    |           |             |   9230   9250   9260   9320   9330   9350   9360
    |           |             |   9370   9410   9430   9440   9450   9460   9470
    |           |             |   9480   9490   9500   9510   9520   9530   9540
    |           |             |   9550   9560   9570   9580   9600   9620   9630
    |           |             |   9640   9650   9660   9670   9680   9690   9700
    |           |             |   9710   9720   9730   9740   9750   9760   9770
    |           |             |   9780   9790   9800   9810   9820   9830   9840
    |           |             |   9850   9860   9870   9880   9890   9900   9910
    |           |             |   9920   9930   9940   9950   9960   9970   9980
    |           |             |   9990  10000  10010  10020  10030  10040  10050
    |           |             |  10060  10070  10080  10090  10100  10110  10120
    |           |             |  10130  10140  10150  10160  10170  10180  10190
    |           |             |  10200  10210  10220  10230  10240  10250  10260
    |           |             |  10270  10280  10290  10300  10310  10320  10330
    |           |             |  10340  10350  10360  10370  10380  10390  10400
    |           |             |  10410  10420  10430  10440  10450  10460  10470
    |           |             |  10480  10490  10500  10510  10520  10530  10550
    |           |             |  10560  10570  10580  10590  10610  10660  10690
    |           |             |  10710  10720  10730  10740  10760  10770  10780
    |           |             |  10790  10850  10860  10870  10890  10900  10910
    |           |             |  10920  10930  10940  10960  10970  10980  10990
    |           |             |  11000  11020  11030  11040  11050  11060  11070
    |           |             |  11080  11090  11100  11110  11120  11130  11140
    |           |             |  11150  11160  11170  11180  11190  11200  11210
    |           |             |  11220  11230  11240  11250  11260  11270  11280
    |           |             |  11290  11300  11310  11320  11330  11340  11350
    |           |             |  11370  11390  11400  11410  11450  11480
  2 | 104  0.212 |  19660 .169 |  14410  15910  15920  15980  16620  16640  16650
    |           |             |  16660  16670  16680  16720  16730  16740  16750
    |           |             |  16780  16790  16800  16810  16820  16830  16840
    |           |             |  16850  16860  16870  16880  16890  16900  16910
    |           |             |  16920  16930  16940  16950  16960  16970  16980
    |           |             |  16990  17000  17010  17020  17030  17090  17100
    |           |             |  17250  17380  17440  17450  17460  17470  17480
    |           |             |  19080  19090  19100  19110  19120  19130  19140
    |           |             |  19150  19170  19180  19190  19210  19230  19240
    |           |             |  19300  19310  19370  19380  19390  19400  19410
    |           |             |  19420  19430  19440  19450  19460  19470  19480
    |           |             |  19490  19500  19510  19520  19550  19560  19610
    |           |             |  19630  19640  19650  19660  19670  19680  19690
    |           |             |  19700  19710  19770  19780  19800  19810  19860
    |           |             |  19870  19930  19940  19950  19990  20000
  3 |  80  0.201 |   6650 .166 |   6330   6340   6350   6360   6400   6410   6420
    |           |             |   6430   6440   6450   6480   6490   6500   6510
    |           |             |   6520   6530   6540   6550   6560   6570   6580
    |           |             |   6590   6600   6610   6620   6630   6640   6650
    |           |             |   6660   6670   6680   6690   6710   6750   6770
    |           |             |   6780   6790   6800   6810   6820   6920   6940
    |           |             |   6950   6960   6980   6990   7010   7020   7030
    |           |             |   7080   7120   7210   7220   7230   7240   7250
    |           |             |   7260   7270   7280   7290   7300   7310   7320
    |           |             |   7750   7760   7780   7790   9100   9140   9210
    |           |             |   9240   9270   9280   9290   9300   9390   9400
    |           |             |   9610  10750  10880
  4 |  57  0.197 |   7990 .158 |   5920   6010   6200   6210   6280   6300   7340
    |           |             |   7350   7370   7380   7390   7400   7410   7420
    |           |             |   7430   7480   7490   7500   7510   7520   7530
    |           |             |   7540   7550   7560   7570   7600   7630   7690
    |           |             |   7700   7710   7820   7830   7860   7890   7910
    |           |             |   7920   7930   7940   7950   7960   7970   7980
    |           |             |   7990   8000   8010   8020   8030   8040   8050
    |           |             |   8060   8070   8080   8090   8550   8880   8930
    |           |             |   9000
  5 |  54  0.213 |  16460 .171 |  14280  14290  14300  14310  15760  15770  15930
    |           |             |  15950  15960  15970  16010  16020  16090  16100
    |           |             |  16110  16120  16130  16140  16150  16240  16260
    |           |             |  16280  16290  16300  16310  16320  16340  16350
    |           |             |  16360  16370  16380  16390  16430  16440  16450
    |           |             |  16460  16470  16480  16490  16500  16510  16520
    |           |             |  16530  16540  16550  16560  16570  16590  17200
    |           |             |  17210  17220  17230  17240  19890
  6 |  48  0.198 |  18260 .159 |  17640  17650  17660  17670  17690  17700  17710
    |           |             |  17720  17730  17740  17760  17860  17870  18120
    |           |             |  18140  18150  18160  18170  18180  18190  18200
    |           |             |  18210  18220  18230  18240  18250  18260  18270
    |           |             |  18280  18290  18300  18310  18320  18330  18340
    |           |             |  18350  18360  18370  18400  18410  18420  18430
    |           |             |  18440  18470  18490  18500  18510  18520
  7 |  48  0.207 |  15150 .166 |  15080  15090  15110  15130  15140  15150  15160
    |           |             |  15170  15180  15190  15200  15210  15220  15230
    |           |             |  15240  15250  15260  15270  15280  15300  15310
    |           |             |  15320  15330  15340  15350  15360  15370  15380
    |           |             |  15390  15410  15420  15430  15440  15460  15470
    |           |             |  15490  15500  15510  15520  15530  15540  15550
    |           |             |  15570  15610  15620  15630  15640  15650
  8 |  35  0.210 |  19020 .174 |  14420  15830  15850  15860  15870  15940  17080
    |           |             |  17110  17120  17130  17140  17150  17160  17170
    |           |             |  17190  17260  17490  17510  17520  18960  18970
    |           |             |  18980  18990  19000  19010  19020  19030  19040
    |           |             |  19050  19060  19070  19330  19340  19350  19360
  9 |  34  0.200 |   8530 .166 |   8440   8460   8470   8510   8520   8530   8540
    |           |             |   8560   8570   8580   8590   8600   8630   8650
    |           |             |   8730   8740   8750   8760   8770   8780   8790
    |           |             |   8800   8810   8820   8850   8860   8870   8890
    |           |             |   8900   8910   8920   8940   8950   8970
 10 |  32  0.207 |  19850 .174 |  16630  16690  16700  16760  16770  17270  17280
    |           |             |  17290  17300  17310  17320  17340  17350  17360
    |           |             |  17370  17390  17400  17410  17420  17430  17590
    |           |             |  17810  17850  19160  19720  19730  19750  19760
    |           |             |  19820  19830  19840  19850
 11 |  27  0.204 |   1570 .178 |    630    670   1080   1090   1100   1110   1130
    |           |             |   1140   1190   1200   1210   1220   1380   1400
    |           |             |   1410   1420   1430   1440   1460   1470   1480
    |           |             |   1490   1500   1540   1560   1570   1580
 12 |  26  0.185 |   6910 .158 |   6830   6840   6850   6860   6870   6880   6890
    |           |             |   6900   6910   6930   6970   7000   7040   7070
    |           |             |   7090   7100   7110   7130   7140   7150   7160
    |           |             |   7170   7180   7190   7200   8490
 13 |  26  0.197 |  18760 .173 |  17610  17630  18540  18550  18560  18580  18590
    |           |             |  18620  18630  18640  18660  18720  18730  18740
    |           |             |  18750  18760  18770  18780  18790  18800  18810
    |           |             |  18820  18830  18840  18850  18860
 14 |  24  0.208 |  15710 .166 |  14910  14920  14930  14990  15000  15010  15020
    |           |             |  15100  15660  15670  15680  15690  15700  15710
    |           |             |  15720  15730  15740  15750  15780  15840  15880
    |           |             |  15890  19580  19920
 15 |  22  0.205 |  10680 .176 |   5640   5650   5670   6290   6380   6390   6470
    |           |             |   7720   7730   7740   7770   7800   9040   9310
    |           |             |   9340   9420   9590  10640  10650  10670  10680
    |           |             |  10700
 16 |  22  0.182 |  18000 .151 |  17820  17830  17840  17940  17950  17960  17970
    |           |             |  17980  17990  18000  18010  18020  18030  18040
    |           |             |  18050  18060  18070  18080  18090  18100  18110
    |           |             |  18130
 17 |  21  0.195 |  13230 .159 |  13080  13090  13100  13110  13120  13130  13160
    |           |             |  13170  13180  13190  13200  13210  13220  13230
    |           |             |  13240  13250  13260  13270  13280  13310  13320
 18 |  20  0.201 |  11460 .167 |   5910   6020   6030   6040   6050   6060   6070
    |           |             |   6180  11360  11420  11430  11440  11460  11470
    |           |             |  11490  11500  11510  11520  11530  11540
 19 |  19  0.195 |   5100 .159 |   5070   5080   5090   5100   5110   5120   5130
    |           |             |   5140   5150   5160   5180   5190   5200   5210
    |           |             |   5220   5240   5260   5270   5310
 20 |  19  0.185 |   8150 .152 |   7610   7620   7640   7650   7660   7670   7680
    |           |             |   8100   8110   8120   8130   8140   8150   8160
    |           |             |   8170   8180   8190   8230   8240
 21 |  18  0.206 |   1760 .174 |   1310   1320   1330   1340   1350   1640   1680
    |           |             |   1690   1700   1720   1730   1740   1760   1770
    |           |             |   1780   1800   1810   1820
 22 |  18  0.201 |  17560 .170 |  17540  17550  17560  17570  17580  17750  17770
    |           |             |  17780  17790  17800  17880  17900  17910  17920
    |           |             |  18900  18910  18920  18930
 23 |  17  0.204 |   3810 .174 |   3310   3320   3330   3340   3350   3360   3390
    |           |             |   3410   3420   3430   3440   3740   3770   3780
