Using gromos method for clustering
Using RMSD cutoff 0.2 nm
The RMSD ranges from 0.0630742 to 0.984408 nm
Average RMSD is 0.462675
Number of structures for matrix 2001
Energy of the matrix is 46.4898.

Found 207 clusters

Writing middle structure for each cluster to /root/LiSPER_remote/LiSPER_8cand_NaCl_prod_worker/systems/LiA3-Ref/gromacs/cluster_20ns/representative_top_cluster.pdb

cl. | #st  rmsd | middle rmsd | cluster members
  1 | 147  0.211 |  10780 .164 |   9280  10070  10210  10260  10320  10350  10360
    |           |             |  10370  10380  10390  10400  10410  10430  10440
    |           |             |  10450  10460  10500  10510  10520  10540  10550
    |           |             |  10560  10570  10580  10590  10600  10610  10620
    |           |             |  10630  10640  10650  10730  10740  10750  10770
    |           |             |  10780  10790  10840  10850  10870  10880  10890
    |           |             |  10900  10910  11090  11100  11110  11120  11130
    |           |             |  11140  11150  11160  11170  11180  11190  11200
    |           |             |  11210  11220  11230  11240  11260  11270  11280
    |           |             |  11290  11300  11310  11320  11330  11340  11350
    |           |             |  11360  11370  11380  11390  11400  11410  11440
    |           |             |  11460  11500  11510  11520  11540  11550  11560
    |           |             |  11570  11620  11630  11640  11810  11820  11850
    |           |             |  11870  11880  11890  11900  11910  11920  11930
    |           |             |  11940  11950  11960  11970  11980  12040  12050
    |           |             |  12060  12070  12090  12100  12210  12220  12230
    |           |             |  12280  12290  12300  12310  12320  12330  12340
    |           |             |  12350  12360  12370  12380  12390  12400  12410
    |           |             |  12420  12430  12440  12450  12460  12670  12680
    |           |             |  12690  12700  12710  12720  12730  12780  12820
    |           |             |  13000  13010  13150  13160  13190  13290  13300
  2 | 145  0.219 |   2030 .171 |    100    110    130    140    150    160    170
    |           |             |    200   1100   1130   1160   1230   1240   1320
    |           |             |   1330   1350   1360   1370   1380   1440   1460
    |           |             |   1470   1480   1500   1550   1560   1570   1590
    |           |             |   1600   1760   1780   1790   1810   1820   1850
    |           |             |   1880   1890   1900   1910   1920   1930   1950
    |           |             |   1970   2020   2030   2040   2050   2060   2070
    |           |             |   2080   2310   2340   2360   2390   2400   2410
    |           |             |   2420   2430   2440   2450   2540   2550   2570
    |           |             |   2580   2590   2600   2610   2620   2630   2640
    |           |             |   2650   2660   2670   2680   2750   2810   2820
    |           |             |   2830   2840   2850   2870   2880   2890   2900
    |           |             |   2910   2920   2930   2950   2960   2970   2990
    |           |             |   3010   3030   3040   3050   3060   3070   3080
    |           |             |   3090   3100   3110   3180  16270  16450  16480
    |           |             |  16540  16550  16570  16610  16620  16690  16700
    |           |             |  16710  16930  17040  17050  17060  17070  17080
    |           |             |  17190  17200  17220  17250  17260  17270  17290
    |           |             |  17820  17840  17850  17860  17870  18160  18230
    |           |             |  19760  19770  19780  19790  19810  19820  19870
    |           |             |  19880  19900  19910  19920  19930
  3 |  74  0.223 |   1020 .187 |    180    190    900    960    970    980   1000
    |           |             |   1010   1020   1040   1050   1060   1070   1080
    |           |             |   1090   1120   1140   1450   1580   1860   1870
    |           |             |   2090   2100   2110   2260   2300   2320   2330
    |           |             |   2350   2460   2470   2480   2860   3000   3020
    |           |             |   3120   3130   3140   3150   3160   3170   3200
    |           |             |   3580   3590   3600   3610   8180   8190   8280
    |           |             |   8290  16200  16230  16260  16430  16440  16560
    |           |             |  16580  16590  16600  16630  16650  16890  17090
    |           |             |  17100  17160  17210  17660  17670  18050  19300
    |           |             |  19860  19890  19980  20000
  4 |  68  0.217 |   5680 .172 |   4550   4570   4590   4630   4690   4700   4710
    |           |             |   4730   4770   4780   4790   4840   4850   4860
    |           |             |   4910   4940   5360   5370   5450   5460   5470
    |           |             |   5510   5520   5530   5540   5550   5650   5660
    |           |             |   5670   5680   5690   5710   5720   5740   5760
