Using gromos method for clustering
Using RMSD cutoff 0.2 nm
The RMSD ranges from 0.0677089 to 1.09163 nm
Average RMSD is 0.447972
Number of structures for matrix 2001
Energy of the matrix is 45.219.

Found 187 clusters

Writing middle structure for each cluster to /root/LiSPER_remote/LiSPER_8cand_NaCl_prod_worker/systems/LiD3-Core/gromacs/cluster_20ns/representative_top_cluster.pdb

cl. | #st  rmsd | middle rmsd | cluster members
  1 | 207  0.218 |   6470 .173 |      0     90    340    350    360    370    880
    |           |             |    890    900    910    920    960    970   1630
    |           |             |   1640   2090   2590   2600   2680   2700   5810
    |           |             |   5830   5850   5860   5880   5890   5910   6040
    |           |             |   6050   6320   6340   6350   6360   6370   6380
    |           |             |   6390   6400   6410   6450   6460   6470   6480
    |           |             |   6490   6500   6530   6540   6640   6650   6660
    |           |             |   6670   6680   6690   6740   6750   6760   6770
    |           |             |   6780   6790   6800   6810   6820   6840   6850
    |           |             |   7330   7350   7360   7380   7390   7400   7410
    |           |             |   7420   7500   7510   7520   7530   7540   7570
    |           |             |   7580   8100   8110   8120   8150   8160   8170
    |           |             |   8180   8190   8320   8330   8340   8350   8360
    |           |             |   8380   8390   8400   8530   8550   8650   8660
    |           |             |   8700   8750   8840   8850   8870   8880   8900
    |           |             |   8910   8920   8960   8990   9040   9070   9080
    |           |             |   9090   9200   9210   9320   9350   9360   9410
    |           |             |   9540   9550   9560   9580   9590   9600   9610
    |           |             |   9620   9630   9660   9670   9690   9710   9720
    |           |             |   9740   9750   9760   9770   9790   9820   9830
    |           |             |   9840   9900   9920   9930   9940  10000  10370
    |           |             |  10650  11350  11360  11370  11470  12040  12050
    |           |             |  12060  12070  12620  13640  13670  13690  13700
    |           |             |  13710  13720  13740  13750  13760  13770  13780
    |           |             |  13800  14090  14280  14290  14300  14330  14640
    |           |             |  14650  14660  14670  14680  14690  14700  14710
    |           |             |  14720  14780  14870  14880  14890  14910  14920
    |           |             |  14950  14960  14970  14980  14990  15000  15010
    |           |             |  15030  15040  15050  15060  15070  15190  15240
    |           |             |  15270  15320  19330  19950
  2 | 102  0.211 |   7260 .175 |    740    750    760    770    780    790    800
    |           |             |    820    850    860    870    930    940    950
    |           |             |    980    990   1010   1020   1170   1180   1190
    |           |             |   2460   2470   6060   6290   6300   6330   6510
    |           |             |   7160   7170   7180   7200   7210   7240   7250
    |           |             |   7260   7270   7280   7290   7430   7440   7460
    |           |             |   7470   7480   7490   7560   7730   7750   7760
    |           |             |   7770   7780   7790   7850   7860   7880   8040
    |           |             |   8060   8080   8090   8200   8210   8290   8300
    |           |             |   8310   8370   8420   8670   8680   8690   8710
    |           |             |   8740   8760   8770   8780   8890   9220   9230
    |           |             |   9240   9250   9260   9270   9280   9290   9300
    |           |             |   9310   9340   9530   9570   9950   9960   9970
    |           |             |   9980   9990  10020  10510  15280  15290  15300
    |           |             |  15310  15330  15340  19960
  3 |  90  0.219 |   2040 .174 |    120    130    140    180    190    210    240
    |           |             |    260    270    380    390    400    410   1880
    |           |             |   1950   1960   1990   2000   2010   2020   2030
    |           |             |   2040   2050   2060   2080   2100   2110   2120
    |           |             |   2130   2140   2150   2160   2170   2180   2190
    |           |             |   2200   2210   2250   2270   2280   2290   2300
    |           |             |   2310   2320   2330   2340   2350   2360   2370
    |           |             |   2380   2940   2950   2970   2980   3030   3040
    |           |             |   3060   3070   3150   3160   3220   3230   3320
    |           |             |   3330   6420   8930   8950   9680   9780  10170
    |           |             |  10190  10680  10720  11380  11480  11490  11500
    |           |             |  11510  11520  11550  13790  14190  14210  14220
    |           |             |  14390  14400  15230  15250  19930  19940
  4 |  75  0.217 |  14100 .172 |     20     30     40     50     60   1500   1510
    |           |             |   1530   1540   1550   1560   1570   1580   1610
    |           |             |   1620   1650   1740   2430   2550   2560   2570
    |           |             |   2580   2610   2620   2640   2660   2670   2750
    |           |             |   2760   2770   2820   2920  10010  10070  10100
    |           |             |  10120  10130  10140  10150  10220  10250  10450
    |           |             |  10460  10470  10480  10490  10500  10520  10530
    |           |             |  10540  10550  10560  10640  11440  13870  13880
    |           |             |  13890  13910  13920  13930  13940  13950  14020
    |           |             |  14030  14040  14060  14070  14080  14100  14110
    |           |             |  14120  14320  15020  19270  19280
  5 |  58  0.202 |  16670 .168 |  16020  16030  16040  16050  16060  16130  16160
    |           |             |  16170  16200  16220  16230  16250  16260  16270
    |           |             |  16300  16310  16330  16340  16350  16360  16370
    |           |             |  16380  16390  16400  16410  16430  16440  16450
    |           |             |  16460  16470  16500  16510  16520  16530  16540
    |           |             |  16560  16570  16580  16590  16600  16610  16620
    |           |             |  16630  16640  16650  16660  16670  16680  16690
    |           |             |  16700  16710  16720  16730  16740  16750  16760
    |           |             |  16770  16780
  6 |  50  0.219 |   6030 .173 |    690    700   5820   5840   5870   5920   5950
    |           |             |   5960   5970   5980   6000   6010   6020   6030
    |           |             |   7310   7320   7370   7550   7590   7600   8230
    |           |             |   8240   8410   8980   9000   9020   9330   9370
    |           |             |   9640   9650   9700   9800   9810   9880   9890
    |           |             |  10660  12090  12150  14360  14370  14380  15120
    |           |             |  15170  15180  15200  15210  15220  19970  19990
    |           |             |  20000
  7 |  48  0.211 |   1870 .169 |     80    220    230    280    290    300    310
    |           |             |    320    330   1590   1720   1730   1800   1810
    |           |             |   1820   1830   1840   1850   1860   1870   1890
    |           |             |   1910   1920   1930   1940   3010   3020  10200
    |           |             |  10210  10260  10270  10280  10300  10310  10330
    |           |             |  10340  10350  10360  10380  10390  10440  11650
    |           |             |  11660  11710  13860  14000  14230  14270
  8 |  47  0.211 |  13260 .171 |   3690   3700   3750   3770   6610  12270  12280
    |           |             |  12290  12300  12310  12320  12330  12370  12380
    |           |             |  12390  12400  12410  12440  12480  12490  12500
    |           |             |  12510  12520  12530  12930  13040  13060  13070
    |           |             |  13150  13160  13170  13210  13240  13250  13260
    |           |             |  13270  13300  13310  13320  13330  13340  13350
    |           |             |  13400  13590  13600  13610  13620
  9 |  44  0.220 |   6270 .196 |   1430   6120   6150   6160   6180   6190   6250
    |           |             |   6260   6270   6310   6520   6550   6560   6570
    |           |             |   6580   6590   6630   6700   7190   8130   8500
    |           |             |   8510   8520   8570   8580   8590   8600   8630
    |           |             |   8640   8860   9100   9130   9140   9490   9500
    |           |             |   9510   9520  14850  14860  14900  15350  15360
    |           |             |  15430  15440
 10 |  40  0.219 |  18450 .175 |  17190  17200  17230  17520  17590  17630  17640
    |           |             |  17660  17670  17690  18050  18060  18070  18080
    |           |             |  18090  18100  18340  18420  18430  18440  18450
    |           |             |  18460  18470  18480  18490  18500  18510  18570
    |           |             |  18580  18590  18600  18610  18620  18630  18640
    |           |             |  18890  18920  18930  18940  18980
 11 |  35  0.212 |   4410 .168 |   2260   3350   3360   3370   3590   3930   3950
    |           |             |   4060   4090   4100   4110   4120   4130   4280
    |           |             |   4320   4330   4360   4380   4390   4400   4410
    |           |             |   4420   4430   4510   4520   4530   4550   4590
    |           |             |   4600   4610  13000  13010  13180  13220  14180
 12 |  33  0.214 |   1090 .170 |   1040   1050   1060   1070   1080   1090   1100
    |           |             |   1110   1120   1130   1140   1160   1290   1300
    |           |             |   1330   1340   1350   1360   1370   1380   1390
    |           |             |   1400   6200   6230   6240   7220   7230   7810
    |           |             |   7890   7910   7920   8720   8730
