Using gromos method for clustering
Using RMSD cutoff 0.2 nm
The RMSD ranges from 0.0464298 to 0.954307 nm
Average RMSD is 0.414326
Number of structures for matrix 2001
Energy of the matrix is 33.4293.

Found 86 clusters

Writing middle structure for each cluster to /root/LiSPER_remote/LiSPER_8cand_NaCl_prod_worker/systems/LiDA-1/gromacs/cluster_20ns/representative_top_cluster.pdb

cl. | #st  rmsd | middle rmsd | cluster members
  1 | 359  0.207 |  18360 .168 |   4770   4780   5410   5420   5430   5440   5510
    |           |             |   5530   5560   5700   5730   5740   5750   5760
    |           |             |   5780   5810   5820   5830   5840   5850   5860
    |           |             |   5890   5900   5910   5920   5930   5940   5960
    |           |             |   5990   6000   6170   6180   6190   6200   6210
    |           |             |   6230   6250   6270   6360   6400   6410   6420
    |           |             |   6430   6670   6680   6690   6700   6710   6720
    |           |             |   6730   6740   6750   6770   6800   6810   6830
    |           |             |   6840   6850   6880   6890   6900   6920   6930
    |           |             |   6940   6950   6960   7030   7040   7050   7060
    |           |             |   7070   7080   7090   7110   7120   7130   7140
    |           |             |   7150   7170   7240   7260   7380   7390   7410
    |           |             |   7420   7490   7570   7580   7590   7600   7610
    |           |             |   7620   7630   7640   7660   7670   8490   8500
    |           |             |   8540   8550   8560   8570   8580   8590   8610
    |           |             |   8620   8640   8650   8660   9040   9050   9060
    |           |             |   9070   9080   9090   9100   9110   9120   9130
    |           |             |   9140   9150   9160   9170   9180   9190   9200
    |           |             |   9210   9220   9230   9240   9250   9260   9270
    |           |             |   9280   9290   9300   9310   9340   9350   9360
    |           |             |   9370   9380   9390   9400   9410   9420   9480
    |           |             |   9490   9500   9510   9520   9530   9540   9550
    |           |             |   9560   9570   9580   9620   9630   9640   9650
    |           |             |   9690   9710   9720   9730   9910   9930   9950
    |           |             |   9960   9970   9980   9990  10040  10050  10060
    |           |             |  10070  10280  10310  10340  10350  10370  10390
    |           |             |  10400  10410  10420  10430  10440  16930  16940
    |           |             |  16950  16960  16970  16980  16990  17000  17010
    |           |             |  17020  17030  17040  17050  17060  17070  17080
    |           |             |  17090  17100  17110  17120  17130  17160  17170
    |           |             |  17180  17280  17290  17300  17310  17320  17330
    |           |             |  17340  17350  17360  17370  17480  17490  17570
    |           |             |  17580  17590  17660  17670  17680  17690  17710
    |           |             |  17720  17840  17850  17860  17870  17880  17890
    |           |             |  17910  17920  17930  17970  18000  18010  18020
    |           |             |  18030  18040  18050  18060  18070  18080  18090
    |           |             |  18100  18110  18140  18150  18160  18170  18210
    |           |             |  18220  18230  18240  18250  18260  18270  18280
    |           |             |  18290  18310  18320  18330  18340  18350  18360
    |           |             |  18370  18380  18390  18400  18410  18430  18460
    |           |             |  18470  18480  18550  18560  18570  18580  18590
    |           |             |  18600  18610  18620  18630  18640  18650  18660
    |           |             |  18670  18680  18690  18700  18720  18730  18740
    |           |             |  18750  18760  18770  18780  18790  18800  18820
    |           |             |  18850  18860  18870  18890  18900  18920  18930
    |           |             |  18940  18950  19040  19070  19120  19160  19240
    |           |             |  19250  19260  19300  19320  19330  19360  19390
    |           |             |  19400  19420  19430  19440  19460  19480  19490
    |           |             |  19510  19520  19570  19580  19590  19600  19610
    |           |             |  19620  19630  19640  19650  19790  19800  19810
    |           |             |  19820  19830  19840  19850  19860  19870  19880
    |           |             |  19890  19940
  2 | 136  0.214 |   9870 .173 |   4790   4810   4820   4830   5080   5100   5120
    |           |             |   5140   5160   5190   5200   5280   5290   5300
    |           |             |   5390   5490   5570   5580   5600   5610   5620
    |           |             |   5630   5670   5680   5690   5710   5720   6150
    |           |             |   6340   6350   6440   6450   6460   6470   6480
    |           |             |   6490   6500   6510   6520   6540   6550   6820
    |           |             |   6860   6910   6980   7160   7270   7280   7290
    |           |             |   7830   7850   7910   7920   7930   8210   8230
    |           |             |   8350   8390   8400   8410   8630   8680   8720
    |           |             |   8770   8800   8810   8820   8840   8860   8870
    |           |             |   8880   8890   8900   8910   8930   9010   9020
    |           |             |   9320   9330   9660   9670   9680   9780   9790
    |           |             |   9800   9810   9820   9830   9840   9850   9860
    |           |             |   9870   9880   9890   9900   9940  10000  10120
    |           |             |  10130  10170  10180  10190  10200  10210  10240
    |           |             |  10250  10260  10270  10320  10330  10360  10380
    |           |             |  10450  10460  17420  17430  17440  17450  17460
    |           |             |  17470  17500  17560  17730  17740  17750  17830
    |           |             |  17960  17980  17990  18180  18190  18420  18440
    |           |             |  19220  19230  19780
  3 | 106  0.205 |   3000 .170 |   1600   1610   1620   1630   1640   1650   1660
    |           |             |   1670   1690   1910   1920   1930   1940   1950
    |           |             |   2040   2050   2060   2070   2250   2260   2270
    |           |             |   2280   2290   2300   2320   2330   2340   2350
    |           |             |   2380   2390   2400   2410   2420   2430   2450
    |           |             |   2470   2480   2490   2500   2510   2520   2530
    |           |             |   2540   2550   2560   2570   2580   2590   2600
    |           |             |   2610   2620   2630   2640   2650   2660   2670
    |           |             |   2680   2690   2700   2710   2720   2730   2760
    |           |             |   2770   2780   2790   2800   2820   2880   2890
    |           |             |   2910   2920   2930   2940   2950   2960   2970
    |           |             |   2980   2990   3000   3010   3020   3040   3050
    |           |             |   3060   3070   3200   3210   3220   3230   3240
    |           |             |   3250   3260   3320   3330   3340   3350   3360
    |           |             |   3370   3380   3390   3400   3430   3470   3480
    |           |             |   3490
  4 | 100  0.196 |  16540 .160 |  15160  15170  15180  15190  15200  15230  15240
    |           |             |  15250  15260  15270  15280  15300  15330  15430
    |           |             |  15440  15450  15460  15850  15890  15910  15920
    |           |             |  15930  15940  15950  15960  15970  15980  15990
    |           |             |  16000  16010  16020  16040  16060  16070  16080
    |           |             |  16130  16140  16150  16160  16170  16180  16190
    |           |             |  16230  16240  16250  16260  16280  16290  16300
    |           |             |  16310  16320  16330  16340  16350  16360  16370
    |           |             |  16400  16410  16420  16430  16440  16450  16460
    |           |             |  16470  16480  16490  16500  16510  16520  16530
    |           |             |  16540  16550  16560  16570  16580  16590  16600
    |           |             |  16610  16640  16650  16660  16680  16690  16700
    |           |             |  16710  16720  16730  16740  16750  16760  16770
    |           |             |  16780  16790  16800  16810  16820  16830  16840
    |           |             |  16850  16870
  5 |  99  0.209 |  13940 .166 |  13120  13130  13140  13210  13220  13230  13240
    |           |             |  13310  13400  13410  13420  13430  13440  13450
    |           |             |  13470  13480  13510  13530  13540  13550  13560
    |           |             |  13570  13580  13590  13600  13610  13620  13630
    |           |             |  13640  13650  13660  13670  13680  13690  13700
    |           |             |  13710  13720  13730  13740  13750  13760  13770
    |           |             |  13780  13790  13800  13810  13900  13910  13920
    |           |             |  13930  13940  13950  13960  13970  13980  13990
    |           |             |  14000  14010  14050  14060  14070  14080  14090
    |           |             |  14100  14110  14120  14130  14140  14150  14160
    |           |             |  14170  14180  14190  14200  14210  14220  14230
    |           |             |  14300  14310  14320  14330  14340  14350  14360
    |           |             |  14370  14380  14410  14420  14430  14440  14450
    |           |             |  14540  14570  14730  14760  14770  14790  14800
    |           |             |  14810
  6 |  83  0.214 |   6260 .177 |   4540   4680   4690   4700   4710   4870   4880
    |           |             |   4920   4940   5010   5020   5030   5040   5060
    |           |             |   5370   5380   5400   6220   6240   6260   6280
    |           |             |   6370   6380   6390   6630   6640   6650   6660
    |           |             |   6760   6780   6790   6990   7010   7020   7360
    |           |             |   7430   7470   7530   7540   7550   7560   7680
    |           |             |   7690   7700   7750   7820   8420   8430   8460
    |           |             |   8470   8510   8520   8530   9590   9610  10290
    |           |             |  17200  17380  17400  18130  18200  18530  18540
    |           |             |  18710  18830  19050  19060  19080  19090  19100
    |           |             |  19110  19150  19170  19180  19190  19200  19210
    |           |             |  19530  19550  19560  19730  19740  19920
  7 |  73  0.208 |  12160 .170 |  12120  12130  12140  12150  12160  12170  12180
    |           |             |  12200  12220  12230  12240  12260  12270  12280
    |           |             |  12290  12300  12310  12320  12330  12340  12410
    |           |             |  12440  12450  12460  12470  12480  12490  12500
    |           |             |  12510  12520  12530  12540  12550  12560  12570
    |           |             |  12580  12590  12600  12610  12620  12630  12650
    |           |             |  12660  12670  12690  12700  12710  12730  12740
    |           |             |  12750  12880  12920  12930  12940  12950  12960
    |           |             |  12970  12980  12990  13000  13040  13050  13100
    |           |             |  13200  13270  13280  13290  13300  13320  13330
    |           |             |  13340  13350  13360
  8 |  71  0.207 |   3770 .172 |    440    450    460    480    490    550    560
    |           |             |    670    690    700    810    820    860    890
    |           |             |    990   1020   1030   1050   1060   1070   1140
    |           |             |   1150   1160   3500   3510   3530   3540   3550
    |           |             |   3580   3590   3600   3610   3620   3630   3640
    |           |             |   3650   3680   3690   3710   3720   3730   3740
    |           |             |   3750   3760   3770   3780   3790   3800   3810
    |           |             |   3820   3830   3840   3850   3860   3870   3880
    |           |             |   3890   3900   4020   4030   4040   4050   4060
    |           |             |   4070   4080   4150   4170   4220   4230   4240
    |           |             |   4300
  9 |  69  0.199 |  11520 .165 |  10690  10700  10710  10720  10730  10740  10750
    |           |             |  10760  10810  10850  10870  10880  10890  10900
    |           |             |  10910  10920  10930  10940  10950  10960  10970
    |           |             |  10980  10990  11000  11010  11020  11030  11040
    |           |             |  11050  11060  11070  11080  11090  11100  11110
    |           |             |  11120  11140  11150  11220  11230  11410  11420
    |           |             |  11440  11450  11470  11480  11490  11510  11520
    |           |             |  11530  11540  11550  11560  11570  11580  11590
    |           |             |  11600  11610  11620  11630  11640  11650  11660
    |           |             |  11670  11680  11700  11710  12070  12080
 10 |  68  0.203 |   5970 .164 |   3080   5450   5460   5470   5500   5520   5540
    |           |             |   5550   5590   5770   5970   5980   6010   6030
    |           |             |   6040   6050   6070   6080   6090   6100   6110
    |           |             |   6120   6130   6140   6160   7180   7190   7200
    |           |             |   7210   7220   7230   7300   7990   8270   8280
    |           |             |   8290   8300   8310   8320   8700   8710   9700
    |           |             |   9740   9750   9760   9770   9920  10020  10030
    |           |             |  10080  10090  10110  10140  10150  10160  17510
    |           |             |  17520  17540  17550  17600  17610  17620  17700
    |           |             |  17900  17950  18450  19270  19280
 11 |  48  0.209 |   9470 .179 |   4760   5790   5870   5880   6300   7250   7450
    |           |             |   7480   7500   8600   9450   9460   9470   9600
    |           |             |  16200  16220  16860  16880  16920  17210  17220
