candidate	condition	delta_g_kjmol	bootstrap_unc_kjmol	endpoint_span_kjmol	early_late_difference_kjmol	burnin_max_shift_kjmol	histogram_min_support	histogram_weak_bins	iact_min_ps	iact_median_ps	iact_max_ps	status
LiDA-1	LiCl	-18.023	1.571	0.361	6.641	3.518	2	0	0.768	1.247	201.518	ESTIMATE_READY
LiDA-1	NaCl	1.317	3.286	0.440	2.131	0.321	3	0	0.809	1.315	12.622	ESTIMATE_READY
LiDS-1	LiCl	-13.766	0.708	0.449	5.810	0.053	2	0	0.740	1.049	24.605	ESTIMATE_READY
LiDS-1	NaCl	-6.151	7.251	0.946	2.377	1.043	3	0	0.872	1.335	69.534	ESTIMATE_READY
LiD3-Core	LiCl	-4.927	1.268	0.430	4.284	0.390	2	0	0.831	1.245	142.367	ESTIMATE_READY
LiD3-Core	NaCl	-1.296	6.209	0.525	1.048	0.353	3	0	0.820	1.289	99.346	ESTIMATE_READY
LiD3-Flex	LiCl	-4.818	9.629	0.575	12.773	1.016	3	0	0.788	1.133	309.105	ESTIMATE_READY
LiD3-Flex	NaCl	-3.459	2.710	0.473	3.001	0.403	2	0	0.969	1.456	130.575	ESTIMATE_READY
LiND-Hybrid	LiCl	-12.107	1.409	0.292	4.058	3.259	2	0	0.738	0.990	61.058	ESTIMATE_READY
LiND-Hybrid	NaCl	-3.132	9.723	0.275	1.780	1.834	4	0	0.876	1.123	11.998	ESTIMATE_READY
LiLC-1	LiCl	0.039	5.152	0.187	2.732	0.418	3	0	0.826	1.018	60.589	ESTIMATE_READY
LiLC-1	NaCl	0.593	3.253	0.461	2.502	0.449	3	0	0.773	1.233	12.178	ESTIMATE_READY
