metric	value
input_windows	27
warning_line_count	20
time_slice_span_shift_kj_mol	0.34147
b100_profile_points	200
b100_finite_points	200
b100_nonfinite_points	0
b100_pmf_min_kj_mol	-21.9851
b100_pmf_max_kj_mol	0
b100_pmf_span_kj_mol	21.9851
b250_profile_points	200
b250_finite_points	200
b250_nonfinite_points	0
b250_pmf_min_kj_mol	-21.7336
b250_pmf_max_kj_mol	0
b250_pmf_span_kj_mol	21.7336
b500_profile_points	200
b500_finite_points	200
b500_nonfinite_points	0
b500_pmf_min_kj_mol	-21.6437
b500_pmf_max_kj_mol	0
b500_pmf_span_kj_mol	21.6437
bootstrap_profile_points	200
bootstrap_finite_points	200
bootstrap_nonfinite_points	0
bootstrap_pmf_min_kj_mol	-21.9851
bootstrap_pmf_max_kj_mol	0
bootstrap_pmf_span_kj_mol	21.9851
status	preliminary_qc_review_required
