metric	value
input_windows	27
warning_line_count	11
time_slice_span_shift_kj_mol	2.77313
b100_profile_points	200
b100_finite_points	200
b100_nonfinite_points	0
b100_pmf_min_kj_mol	-10.6141
b100_pmf_max_kj_mol	23.7971
b100_pmf_span_kj_mol	34.4112
b250_profile_points	200
b250_finite_points	200
b250_nonfinite_points	0
b250_pmf_min_kj_mol	-11.7321
b250_pmf_max_kj_mol	21.2693
b250_pmf_span_kj_mol	33.0014
b500_profile_points	200
b500_finite_points	200
b500_nonfinite_points	0
b500_pmf_min_kj_mol	-12.7249
b500_pmf_max_kj_mol	18.9132
b500_pmf_span_kj_mol	31.6381
bootstrap_profile_points	200
bootstrap_finite_points	200
bootstrap_nonfinite_points	0
bootstrap_pmf_min_kj_mol	-10.6141
bootstrap_pmf_max_kj_mol	23.7971
bootstrap_pmf_span_kj_mol	34.4112
status	preliminary_qc_review_required
