metric	value
input_windows	27
warning_line_count	12
time_slice_span_shift_kj_mol	2.7273
b100_profile_points	200
b100_finite_points	200
b100_nonfinite_points	0
b100_pmf_min_kj_mol	-10.631
b100_pmf_max_kj_mol	23.759
b100_pmf_span_kj_mol	34.3899
b250_profile_points	200
b250_finite_points	200
b250_nonfinite_points	0
b250_pmf_min_kj_mol	-11.7425
b250_pmf_max_kj_mol	21.3101
b250_pmf_span_kj_mol	33.0526
b500_profile_points	200
b500_finite_points	200
b500_nonfinite_points	0
b500_pmf_min_kj_mol	-12.7309
b500_pmf_max_kj_mol	18.9318
b500_pmf_span_kj_mol	31.6626
bootstrap_profile_points	200
bootstrap_finite_points	200
bootstrap_nonfinite_points	0
bootstrap_pmf_min_kj_mol	-10.631
bootstrap_pmf_max_kj_mol	23.759
bootstrap_pmf_span_kj_mol	34.3899
status	preliminary_qc_review_required
