metric	value
input_windows	25
warning_line_count	20
time_slice_span_shift_kj_mol	1.60282
b100_profile_points	200
b100_finite_points	200
b100_nonfinite_points	0
b100_pmf_min_kj_mol	-5.33294
b100_pmf_max_kj_mol	4.82472
b100_pmf_span_kj_mol	10.1577
b250_profile_points	200
b250_finite_points	200
b250_nonfinite_points	0
b250_pmf_min_kj_mol	-7.14502
b250_pmf_max_kj_mol	3.31822
b250_pmf_span_kj_mol	10.4632
b500_profile_points	200
b500_finite_points	200
b500_nonfinite_points	0
b500_pmf_min_kj_mol	-6.93578
b500_pmf_max_kj_mol	4.8247
b500_pmf_span_kj_mol	11.7605
bootstrap_profile_points	200
bootstrap_finite_points	200
bootstrap_nonfinite_points	0
bootstrap_pmf_min_kj_mol	-5.33294
bootstrap_pmf_max_kj_mol	4.82472
bootstrap_pmf_span_kj_mol	10.1577
status	preliminary_qc_review_required
