metric	value
input_windows	27
warning_line_count	22
b100_profile_points	200
b100_finite_points	200
b100_nonfinite_points	0
b100_pmf_min_kj_mol	-13.8109
b100_pmf_max_kj_mol	0.968318
b100_pmf_span_kj_mol	14.7792
b250_profile_points	200
b250_finite_points	200
b250_nonfinite_points	0
b250_pmf_min_kj_mol	-13.6274
b250_pmf_max_kj_mol	0.968337
b250_pmf_span_kj_mol	14.5958
b500_profile_points	200
b500_finite_points	200
b500_nonfinite_points	0
b500_pmf_min_kj_mol	-13.3331
b500_pmf_max_kj_mol	2.67672
b500_pmf_span_kj_mol	16.0098
bootstrap_profile_points	200
bootstrap_finite_points	200
bootstrap_nonfinite_points	0
bootstrap_pmf_min_kj_mol	-13.8109
bootstrap_pmf_max_kj_mol	0.968318
bootstrap_pmf_span_kj_mol	14.7792
status	preliminary_qc_review_required
