metric	value
input_windows	24
warning_line_count	9
time_slice_span_shift_kj_mol	1.67557
b100_profile_points	200
b100_finite_points	200
b100_nonfinite_points	0
b100_pmf_min_kj_mol	-3.6886
b100_pmf_max_kj_mol	4.80448
b100_pmf_span_kj_mol	8.49308
b250_profile_points	200
b250_finite_points	200
b250_nonfinite_points	0
b250_pmf_min_kj_mol	-5.53012
b250_pmf_max_kj_mol	3.30743
b250_pmf_span_kj_mol	8.83755
b500_profile_points	200
b500_finite_points	200
b500_nonfinite_points	0
b500_pmf_min_kj_mol	-5.36419
b500_pmf_max_kj_mol	4.80447
b500_pmf_span_kj_mol	10.1687
bootstrap_profile_points	200
bootstrap_finite_points	200
bootstrap_nonfinite_points	0
bootstrap_pmf_min_kj_mol	-3.6886
bootstrap_pmf_max_kj_mol	4.80448
bootstrap_pmf_span_kj_mol	8.49308
status	preliminary_qc_review_required
