campaign	relative_path	size_bytes	mtime_utc
LiCl	LiA3-Ref/gromacs/run_eq/step4.1_equilibration.edr	71728	2026-07-13T14:32:42.0000000000Z
LiCl	LiA3-Ref/gromacs/run_min/min_attempt0.edr	103988	2026-07-13T14:32:42.0000000000Z
LiCl	LiA3-Ref/gromacs/run_min/step4.0_minimization.edr	103988	2026-07-13T14:32:42.0000000000Z
LiCl	LiA3-Ref/gromacs/run_prod_20ns/step5_production_20ns.edr	1273368	2026-07-13T14:32:42.0000000000Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/bound_place_min/min.edr	78552	2026-07-18T01:32:47.4560706290Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/bound_place_min/min.trr	552780	2026-07-18T01:32:47.4590706090Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/pull/pull.cpt	1107652	2026-07-18T04:10:18.9719221790Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/pull/pull.edr	649400	2026-07-18T04:10:19.0449221970Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/pull/pull.xtc	165458548	2026-07-18T04:10:18.9789221810Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/pull/pull_prev.cpt	1106584	2026-07-18T04:10:18.9749221800Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_000_0.34nm/umbrella.cpt	1107672	2026-07-23T20:00:27.4984353670Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_000_0.34nm/umbrella.edr	1297400	2026-07-23T20:00:27.5724352820Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_000_0.34nm/umbrella.xtc	330753284	2026-07-23T20:00:27.5044353600Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_000_0.34nm/umbrella_eq.cpt	1107692	2026-07-18T13:41:32.2114916240Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_000_0.34nm/umbrella_eq.edr	325400	2026-07-18T13:41:32.3624916640Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_000_0.34nm/umbrella_eq.xtc	82811928	2026-07-18T13:41:32.2224916270Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_000_0.34nm/umbrella_eq_prev.cpt	1107416	2026-07-18T13:41:32.2164916260Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_000_0.34nm/umbrella_prev.cpt	1107396	2026-07-23T20:00:27.5004353650Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_001_0.41nm/umbrella.cpt	1107672	2026-07-22T13:35:23.3733536420Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_001_0.41nm/umbrella.edr	1297400	2026-07-22T13:35:23.5233537870Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_001_0.41nm/umbrella.xtc	330753112	2026-07-22T13:35:23.3853536530Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_001_0.41nm/umbrella_eq.cpt	1107692	2026-07-20T03:29:04.1336161790Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_001_0.41nm/umbrella_eq.edr	325400	2026-07-20T03:29:04.2086162300Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_001_0.41nm/umbrella_eq.xtc	82812080	2026-07-20T03:29:04.1396161830Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_001_0.41nm/umbrella_eq_prev.cpt	1107416	2026-07-20T03:29:04.1356161810Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_001_0.41nm/umbrella_prev.cpt	1107396	2026-07-22T13:35:23.3773536450Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_002_0.49nm/umbrella.cpt	1107672	2026-07-21T13:48:44.5599053440Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_002_0.49nm/umbrella.edr	1297400	2026-07-21T13:48:44.6359053760Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_002_0.49nm/umbrella.xtc	330751292	2026-07-21T13:48:44.5659053460Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_002_0.49nm/umbrella_eq.cpt	1107692	2026-07-19T07:06:25.5170351930Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_002_0.49nm/umbrella_eq.edr	325400	2026-07-19T07:06:25.5920351670Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_002_0.49nm/umbrella_eq.xtc	82812364	2026-07-19T07:06:25.5230351910Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_002_0.49nm/umbrella_eq_prev.cpt	1107416	2026-07-19T07:06:25.5180351930Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_002_0.49nm/umbrella_prev.cpt	1107396	2026-07-21T13:48:44.5619053450Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_003_0.56nm/umbrella.cpt	1107672	2026-07-23T22:36:49.9448911540Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_003_0.56nm/umbrella.edr	1297400	2026-07-23T22:36:50.0168913850Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_003_0.56nm/umbrella.xtc	330752792	2026-07-23T22:36:49.9508911740Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_003_0.56nm/umbrella_eq.cpt	1107692	2026-07-19T20:11:58.6007325360Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_003_0.56nm/umbrella_eq.edr	325400	2026-07-19T20:11:58.6787325260Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_003_0.56nm/umbrella_eq.xtc	82812472	2026-07-19T20:11:58.6097325350Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_003_0.56nm/umbrella_eq_prev.cpt	1107416	2026-07-19T20:11:58.6057325350Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_003_0.56nm/umbrella_prev.cpt	1107396	2026-07-23T22:36:49.9468911610Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_004_0.64nm/umbrella.cpt	1107672	2026-07-24T12:45:58.0817525530Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_004_0.64nm/umbrella.edr	1297400	2026-07-24T12:45:58.1277525050Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_004_0.64nm/umbrella.xtc	330753976	2026-07-24T12:45:58.0857525490Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_004_0.64nm/umbrella_eq.cpt	1107692	2026-07-23T03:40:53.1313317990Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_004_0.64nm/umbrella_eq.edr	325400	2026-07-23T03:40:53.2073318220Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_004_0.64nm/umbrella_eq.xtc	82811940	2026-07-23T03:40:53.1373318010Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_004_0.64nm/umbrella_eq_prev.cpt	1107416	2026-07-23T03:40:53.1333317990Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_004_0.64nm/umbrella_prev.cpt	1107396	2026-07-24T12:45:58.0827525520Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_005_0.71nm/umbrella.cpt	1107672	2026-07-24T02:33:08.3178392540Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_005_0.71nm/umbrella.edr	1297400	2026-07-24T02:33:08.3818392760Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_005_0.71nm/umbrella.xtc	330751080	2026-07-24T02:33:08.3228392560Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_005_0.71nm/umbrella_eq.cpt	1107692	2026-07-19T11:02:14.5309567070Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_005_0.71nm/umbrella_eq.edr	325400	2026-07-19T11:02:14.6789567630Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_005_0.71nm/umbrella_eq.xtc	82812644	2026-07-19T11:02:14.5419567110Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_005_0.71nm/umbrella_eq_prev.cpt	1107416	2026-07-19T11:02:14.5339567080Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_005_0.71nm/umbrella_prev.cpt	1106604	2026-07-24T02:33:08.3188392550Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_006_0.79nm/umbrella.cpt	1107672	2026-07-21T23:51:48.7482528850Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_006_0.79nm/umbrella.edr	1297400	2026-07-21T23:51:48.8262529020Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_006_0.79nm/umbrella.xtc	330751020	2026-07-21T23:51:48.7572528870Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_006_0.79nm/umbrella_eq.cpt	1107692	2026-07-18T14:15:46.5784433890Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_006_0.79nm/umbrella_eq.edr	325400	2026-07-18T14:15:46.6964433220Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_006_0.79nm/umbrella_eq.xtc	82812412	2026-07-18T14:15:46.5874433840Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_006_0.79nm/umbrella_eq_prev.cpt	1107416	2026-07-18T14:15:46.5804433880Z
