ion	candidate	window	file	bytes	verification
LiCl	LiLC-1	window_001_0.58nm	umbrella_eq.xtc	79902896	finished_mdrun+final_gro+critical_sha256
LiCl	LiLC-1	window_001_0.58nm	umbrella.xtc	319130640	finished_mdrun+final_gro+critical_sha256
LiCl	LiLC-1	window_003_0.73nm	umbrella_eq.xtc	79903336	finished_mdrun+final_gro+critical_sha256
LiCl	LiLC-1	window_003_0.73nm	umbrella.xtc	319134956	finished_mdrun+final_gro+critical_sha256
LiCl	LiLC-1	window_000_0.51nm	umbrella_eq.xtc	79903620	finished_mdrun+final_gro+critical_sha256
LiCl	LiLC-1	window_000_0.51nm	umbrella.xtc	319135192	finished_mdrun+final_gro+critical_sha256
LiCl	LiLC-1	window_002_0.66nm	umbrella_eq.xtc	79903420	finished_mdrun+final_gro+critical_sha256
LiCl	LiLC-1	window_002_0.66nm	umbrella.xtc	319134500	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_010_1.00nm	umbrella_eq.xtc	123995568	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_010_1.00nm	umbrella.xtc	495236936	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_014_1.30nm	umbrella_eq.xtc	123994520	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_014_1.30nm	umbrella.xtc	495235984	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_012_1.15nm	umbrella_eq.xtc	123994516	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_012_1.15nm	umbrella.xtc	495237272	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_006_0.70nm	umbrella_eq.xtc	123993232	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_006_0.70nm	umbrella.xtc	495232676	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_020_1.75nm	umbrella_eq.xtc	123995196	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_020_1.75nm	umbrella.xtc	495237416	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_000_0.25nm	umbrella_eq.xtc	123993540	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_000_0.25nm	umbrella.xtc	495236784	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_023_1.98nm	umbrella_eq.xtc	123994672	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_023_1.98nm	umbrella.xtc	495234676	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_002_0.40nm	umbrella_eq.xtc	123993932	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_002_0.40nm	umbrella.xtc	495235224	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_022_1.90nm	umbrella_eq.xtc	123994572	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_022_1.90nm	umbrella.xtc	495235160	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_013_1.23nm	umbrella_eq.xtc	123995424	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_013_1.23nm	umbrella.xtc	495236124	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_021_1.83nm	umbrella_eq.xtc	123994440	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_021_1.83nm	umbrella.xtc	495235988	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_005_0.63nm	umbrella_eq.xtc	123994044	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_005_0.63nm	umbrella.xtc	495234520	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_003_0.48nm	umbrella_eq.xtc	123994072	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_003_0.48nm	umbrella.xtc	495234012	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_001_0.33nm	umbrella_eq.xtc	123993440	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_001_0.33nm	umbrella.xtc	495232268	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_024_2.05nm	umbrella_eq.xtc	123994864	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_024_2.05nm	umbrella.xtc	495235392	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_004_0.55nm	umbrella_eq.xtc	123993756	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_004_0.55nm	umbrella.xtc	495237116	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_011_1.08nm	umbrella_eq.xtc	123995304	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_011_1.08nm	umbrella.xtc	495234216	finished_mdrun+final_gro+critical_sha256
