candidate_id	original_pdb	charmm_gui_safe_pdb
LiD3-1	../pdb/LiD3-1.pdb	lid31.pdb
LiND-1	../pdb/LiND-1.pdb	lind1.pdb
IDP-Li-1	../pdb/IDP-Li-1.pdb	idpli1.pdb
IDP-Li-2	../pdb/IDP-Li-2.pdb	idpli2.pdb
LowCharge-Li	../pdb/LowCharge-Li.pdb	lowchargeli.pdb
LiD2-IDP	../pdb/LiD2-IDP.pdb	lid2idp.pdb
StrongBind-Li	../pdb/StrongBind-Li.pdb	strongbindli.pdb
SoftCage-Li	../pdb/SoftCage-Li.pdb	softcageli.pdb
IDP-Rich-Li	../pdb/IDP-Rich-Li.pdb	idprichli.pdb
Control-Negative	../pdb/Control-Negative.pdb	controlnegative.pdb
