candidate_id	condition	status	gromacs_dir	LIT_molecules	CLA_molecules	TIP3_molecules	total_atoms_step3_input_gro	box_nm
LiD3-1	LiCl	ready_for_gromacs	charmm-gui/li_cl/systems/LiD3-1/gromacs	68	65	22634	68236	9.80000,9.23953,8.00167,0.00000,0.00000,-3.26667,0.00000,-3.26667,-4.61976
LiND-1	LiCl	ready_for_gromacs	charmm-gui/li_cl/systems/LiND-1/gromacs	66	65	22629	68223	9.80000,9.23953,8.00167,0.00000,0.00000,-3.26667,0.00000,-3.26667,-4.61976
IDP-Li-1	LiCl	ready_for_gromacs	charmm-gui/li_cl/systems/IDP-Li-1/gromacs	35	32	11395	34387	7.80000,7.35391,6.36867,0.00000,0.00000,-2.60000,0.00000,-2.60000,-3.67696
IDP-Li-2	LiCl	ready_for_gromacs	charmm-gui/li_cl/systems/IDP-Li-2/gromacs	45	42	14725	44415	8.50000,8.01388,6.94022,0.00000,0.00000,-2.83333,0.00000,-2.83333,-4.00694
LowCharge-Li	LiCl	ready_for_gromacs	charmm-gui/li_cl/systems/LowCharge-Li/gromacs	44	42	14701	44350	8.50000,8.01388,6.94022,0.00000,0.00000,-2.83333,0.00000,-2.83333,-4.00694
LiD2-IDP	LiCl	ready_for_gromacs	charmm-gui/li_cl/systems/LiD2-IDP/gromacs	45	42	14724	44418	8.50000,8.01388,6.94022,0.00000,0.00000,-2.83333,0.00000,-2.83333,-4.00694
StrongBind-Li	LiCl	ready_for_gromacs	charmm-gui/li_cl/systems/StrongBind-Li/gromacs	52	48	16971	51184	8.90000,8.39100,7.26682,0.00000,0.00000,-2.96667,0.00000,-2.96667,-4.19550
SoftCage-Li	LiCl	ready_for_gromacs	charmm-gui/li_cl/systems/SoftCage-Li/gromacs	36	34	11862	35789	7.90000,7.44819,6.45032,0.00000,0.00000,-2.63333,0.00000,-2.63333,-3.72410
IDP-Rich-Li	LiCl	ready_for_gromacs	charmm-gui/li_cl/systems/IDP-Rich-Li/gromacs	46	42	14724	44418	8.50000,8.01388,6.94022,0.00000,0.00000,-2.83333,0.00000,-2.83333,-4.00694
Control-Negative	LiCl	ready_for_gromacs	charmm-gui/li_cl/systems/Control-Negative/gromacs	65	65	22670	68335	9.80000,9.23953,8.00167,0.00000,0.00000,-3.26667,0.00000,-3.26667,-4.61976
