candidate_id	min_status	eq_status	repair_notes	eq_wall_s	performance_ns_per_day	hour_per_ns	ms_per_step	finished_at_remote
LiD3-1	minimized	equilibrated	attempt0:atom19899:remove_neighbor_water:160:H2:dist=0.0953;target=6674:H1:TIP3 22634->22633	1143.401	9.446	2.541	9.147	Sat Jun 13 23:17:05 2026
LiND-1	minimized	equilibrated		1227.245	8.800	2.727	9.818	Sat Jun 13 21:06:52 2026
IDP-Li-1	minimized	equilibrated	attempt0:atom25963:remove_neighbor_water:1611:OH2:dist=0.0972;target=8667:H2:TIP3 11395->11394	652.789	16.545	1.451	5.222	Sat Jun 13 21:17:47 2026
IDP-Li-2	minimized	equilibrated		834.583	12.941	1.855	6.677	Sat Jun 13 21:31:45 2026
LowCharge-Li	minimized	equilibrated		825.979	13.075	1.835	6.608	Sat Jun 13 21:45:33 2026
LiD2-IDP	minimized	equilibrated		851.490	12.684	1.892	6.812	Sat Jun 13 21:59:47 2026
StrongBind-Li	minimized	equilibrated	attempt0:atom43780:remove_neighbor_water:1955:H2:dist=0.0312;target=14619:H2:TIP3 16971->16970	905.921	11.922	2.013	7.247	Sat Jun 13 22:14:56 2026
SoftCage-Li	minimized	equilibrated		642.801	16.802	1.428	5.142	Sat Jun 13 22:25:42 2026
IDP-Rich-Li	minimized	equilibrated		765.587	14.107	1.701	6.125	Sat Jun 13 22:38:30 2026
Control-Negative	minimized	equilibrated		1079.966	10.000	2.400	8.640	Sat Jun 13 22:56:32 2026
