candidate_id	status	run_dir
LiD3-1	equilibrated	/root/LiSPER_remote/LiSPER_LiCl/systems/LiD3-1/gromacs/run_eq
LiND-1	equilibrated	/root/LiSPER_remote/LiSPER_LiCl/systems/LiND-1/gromacs/run_eq
IDP-Li-1	equilibrated	/root/LiSPER_remote/LiSPER_LiCl/systems/IDP-Li-1/gromacs/run_eq
IDP-Li-2	equilibrated	/root/LiSPER_remote/LiSPER_LiCl/systems/IDP-Li-2/gromacs/run_eq
LowCharge-Li	equilibrated	/root/LiSPER_remote/LiSPER_LiCl/systems/LowCharge-Li/gromacs/run_eq
LiD2-IDP	equilibrated	/root/LiSPER_remote/LiSPER_LiCl/systems/LiD2-IDP/gromacs/run_eq
StrongBind-Li	equilibrated	/root/LiSPER_remote/LiSPER_LiCl/systems/StrongBind-Li/gromacs/run_eq
SoftCage-Li	equilibrated	/root/LiSPER_remote/LiSPER_LiCl/systems/SoftCage-Li/gromacs/run_eq
IDP-Rich-Li	equilibrated	/root/LiSPER_remote/LiSPER_LiCl/systems/IDP-Rich-Li/gromacs/run_eq
Control-Negative	equilibrated	/root/LiSPER_remote/LiSPER_LiCl/systems/Control-Negative/gromacs/run_eq
