candidate_id	min_status	eq_status	last_eq_step	final_temp_K	final_pressure_bar	finished_at	repair_notes
LiD3-1	minimized	equilibrated	125000 (125.00000 ps)	2.95664e+02	-5.59426e+02	Sun Jun 14 03:33:02 2026	
LiND-1	minimized	equilibrated	125000 (125.00000 ps)	2.95397e+02	-6.46588e+02	Sun Jun 14 01:50:16 2026	
IDP-Li-1	minimized	equilibrated	125000 (125.00000 ps)	2.95589e+02	-9.99425e+02	Sun Jun 14 01:59:24 2026	attempt0:atom26050:remove_neighbor_water:1624:OH2:dist=0.0929;target=8696:H2:TIP3 11421->11420
IDP-Li-2	minimized	equilibrated	125000 (125.00000 ps)	2.95946e+02	-6.91882e+02	Sun Jun 14 02:10:57 2026	attempt0:atom33104:remove_neighbor_water:1755:OH2:dist=0.0947;target=11057:H1:TIP3 14721->14720
LowCharge-Li	minimized	equilibrated	125000 (125.00000 ps)	2.95456e+02	-6.74880e+02	Sun Jun 14 02:22:56 2026	
LiD2-IDP	minimized	equilibrated	125000 (125.00000 ps)	2.95939e+02	-6.43336e+02	Sun Jun 14 02:34:37 2026	
StrongBind-Li	minimized	equilibrated	125000 (125.00000 ps)	2.95758e+02	-6.89422e+02	Sun Jun 14 03:46:29 2026	attempt0:atom43624:remove_neighbor_water:1946:H2:dist=0.0184;target=14567:H2:TIP3 16946->16945
SoftCage-Li	minimized	equilibrated	125000 (125.00000 ps)	2.95668e+02	-1.01948e+03	Sun Jun 14 02:44:47 2026	attempt0:atom1196:remove_neighbor_water:11790:OH2:dist=0.0071;target=414:H2:TIP3 11841->11840
IDP-Rich-Li	minimized	equilibrated	125000 (125.00000 ps)	2.95743e+02	-6.39217e+02	Sun Jun 14 02:56:35 2026	
Control-Negative	minimized	equilibrated	125000 (125.00000 ps)	2.95604e+02	-6.84246e+02	Sun Jun 14 03:14:48 2026	
